index,MainID,OtherID,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139, dmag139,color,dcolor,Delta130,Delta139,Nr_IR
906,1525,1745,83.85620746,-5.52406314,3691.190316,6087.915401,16.7889,0.0324927,16.5781,0.0250346,0.18864,0.0128988,0.0821533,0.068861,2
907,1527,1747,83.87088789,-5.53421112,3281.070047,5802.992164,17.111,0.0373211,16.9633,0.013952,0.156562,0.0451276,0.0993786,0.0359993,2
908,1529,1613-7281,83.84324054,-5.542602374,4053.550977,5567.565509,17.35,0.0242842,17.1692,0.0338245,0.192386,0.0119019,0.0687447,0.100431,3
909,1530,1614-7282,83.85140601,-5.541707597,3825.412254,5592.651008,17.4184,0.0122769,17.1794,0.0143195,0.240486,0.0145765,0.0408039,0.0410004,3
910,1531,1753,83.86680728,-5.519870261,3395.012878,6205.563198,17.9921,0.0277931,17.8157,0.0285653,0.193376,0.0132999,0.0740547,0.0797672,2
911,1532,1667,83.84341535,-5.515672861,4048.570051,6323.48241,18.1168,0.0159826,17.9014,0.00815372,0.226575,0.039327,0.0300007,0.0156078,2
912,1534,1757,83.86189586,-5.525543966,3532.263476,6046.323539,18.5158,0.00422894,18.3393,0.0444827,0.156414,0.0749173,0.00967598,0.112,2
913,1535,1759,83.86219768,-5.538077619,3523.887038,5694.499501,18.7429,0.0277363,18.5108,0.00806841,0.220502,0.048043,0.0559998,0.0189991,2
914,1536,1619,83.84751553,-5.525227629,3934.046397,6055.262768,18.992,0.0417631,18.7692,0.00570727,0.222754,0.0473592,0.104359,0.0126019,2
915,1537,1674,83.86313226,-5.510403907,3497.650399,6471.302909,18.9535,0.0394111,18.7901,0.0141689,0.147492,0.0221368,0.100212,0.0380001,2
916,1538,1620-7287,83.84740675,-5.537844246,3937.133378,5701.111812,19.1252,0.064788,18.6918,0.0287348,0.419636,0.0735118,0.173,0.0817986,3
917,1539,1621-7285,83.85137692,-5.546798252,3826.245205,5449.755166,18.9902,0.0983144,18.9158,0.0177868,0.136611,0.0210866,0.281338,0.0480003,3
918,1540,-,83.84976427,-5.522662962,3871.206866,6127.244873,18.9999,0.186168,18.9767,0.552894,0.31486,0.156222,0.263281,1.10562,1
919,1541,1623,83.83516207,-5.531534486,4279.220062,5878.271337,19.5165,0.123582,19.0531,0.0112661,0.46143,0.151884,0.284203,0.0237446,2
920,1542,1679,83.84828615,-5.51395667,3912.472163,6371.638138,19.3118,0.0140328,18.9969,0.0413343,0.320039,0.0334927,0.0267925,0.103697,2
921,1543,1630-7291,83.85280375,-5.532178703,3786.322255,5860.12373,20.1546,0.0800597,19.8886,0.0396662,0.238418,0.0885922,0.233063,0.0949173,3
922,1544,1768,83.86373855,-5.53932701,3480.841831,5659.421769,20.1856,0.0917516,19.921,0.0271662,0.206451,0.121617,0.248392,0.0816803,2
923,1545,1767,83.86285083,-5.535947435,3505.628643,5754.291329,20.1985,0.0395517,19.9972,0.0579577,0.147308,0.068334,0.0847969,0.155712,2
924,1546,1685,83.85930348,-5.513209034,3604.640884,6392.579371,20.6396,0.10521,20.4579,0.14196,0.119498,0.120896,0.220999,0.326838,2
925,1547,1687,83.8598129,-5.508106717,3590.385081,6535.800314,20.835,0.184612,20.6446,0.00247225,0.0166807,0.0350445,0.528727,0.00490379,2
926,1548,1590-1634,83.84374391,-5.526354809,4039.428722,6023.636595,20.9594,0.135445,20.6431,0.0844221,0.368645,0.17383,0.311422,0.254818,3
927,1549,1632-7294,83.84868587,-5.541995694,3901.411511,5584.574763,20.6595,0.209731,20.6746,0.0277992,-0.00204976,0.202648,0.566334,0.0738964,3
928,1550,-,83.86994479,-5.531049608,3307.404443,5891.741207,20.8942,0.0336001,20.7053,0.0115561,0.182225,0.0336217,0.0475178,0.020031,1
929,1551,1771,83.86590386,-5.519160207,3420.251226,6225.498814,20.8483,0.21283,20.72,0.0977972,0.108412,0.128019,0.525549,0.212545,2
930,1552,1774,83.86713498,-5.517801596,3385.847032,6263.62958,21.1947,0.0552354,21.2416,0.041764,-0.0344887,0.0154352,0.129805,0.106001,2
931,1553,1775,83.86018419,-5.524452686,3580.082604,6076.963627,21.1872,0.148332,21.1299,0.102042,0.0359112,0.213112,0.381802,0.272999,2
932,1554,1782,83.8624584,-5.53866583,3516.605218,5677.987067,21.4924,0.520307,21.2787,0.0400619,0.373409,0.434135,1.35034,0.0997257,2
933,1555,-,83.86106553,-5.509556801,3555.392204,6495.090621,21.0726,0.137756,21.4213,0.00473528,-0.417756,0.0449103,0.194817,0.0066967,1
934,1556,-,83.86449653,-5.536672222,3459.652319,5733.93885,20.9187,1.09984,20.8733,0.332563,-0.00832113,0.743847,2.19793,0.740965,1
935,1557,1636-7307,83.84884599,-5.541589666,3896.936534,5595.971447,21.4593,0.351317,21.014,0.0437041,0.554152,0.426837,0.906,0.139,3
